simulation_id,ID,averageCellCycleDuration_tumour,averageCellCycleDuration_stroma,chi_macrophageToCSF,chi_macrophageToCXCL12,chi_tumourCellToEGF,macrophagePhenotypeIncrementPerHour,distanceToBloodVessel,numberOfBloodVessels,halfMaximalExtravasationCsf1Conc,maximumProbOfExtravasationPerHour,tgfThresholdForPhenotypeSwitch,iterationNumber
AWS_ParameterSweep_24072021/1,1,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.05,0
AWS_ParameterSweep_24072021/2,2,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.05,1
AWS_ParameterSweep_24072021/3,3,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.05,2
AWS_ParameterSweep_24072021/4,4,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.05,3
AWS_ParameterSweep_24072021/5,5,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.05,4
AWS_ParameterSweep_24072021/6,6,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.05,5
AWS_ParameterSweep_24072021/7,7,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.05,6
AWS_ParameterSweep_24072021/8,8,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.05,7
AWS_ParameterSweep_24072021/9,9,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.05,8
AWS_ParameterSweep_24072021/10,10,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.05,9
AWS_ParameterSweep_24072021/11,11,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.5,0
AWS_ParameterSweep_24072021/12,12,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.5,1
AWS_ParameterSweep_24072021/13,13,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.5,2
AWS_ParameterSweep_24072021/14,14,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.5,3
AWS_ParameterSweep_24072021/15,15,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.5,4
AWS_ParameterSweep_24072021/16,16,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.5,5
AWS_ParameterSweep_24072021/17,17,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.5,6
AWS_ParameterSweep_24072021/18,18,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.5,7
AWS_ParameterSweep_24072021/19,19,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.5,8
AWS_ParameterSweep_24072021/20,20,24,32,0.5,3,3,0.01,17,35,0.1,0.075,0.5,9
AWS_ParameterSweep_24072021/21,21,24,32,0.5,3,3,0.01,17,35,0.2,0.075,0.05,0
AWS_ParameterSweep_24072021/22,22,24,32,0.5,3,3,0.01,17,35,0.2,0.075,0.05,1
AWS_ParameterSweep_24072021/23,23,24,32,0.5,3,3,0.01,17,35,0.2,0.075,0.05,2
AWS_ParameterSweep_24072021/24,24,24,32,0.5,3,3,0.01,17,35,0.2,0.075,0.05,3
